batter_name,xwoba,spray xwoba,pa,diff
luis garcia,0.3379299846075336,0.33628712516573855,101.0,-0.0016428594417950415
luis gonzalez,0.29875655617920777,0.3082031052886997,180.0,0.009446549109491942
luis guillorme,0.3305485094129515,0.32845399946224024,170.0,-0.002094509950711254
luis rengifo,0.30097265392193845,0.30900907548310813,151.0,0.008036421561169682
luis robert,0.33033102025043953,0.32642486590103315,250.0,-0.0039061543494063877
luis torrens,0.2857263786199948,0.2710146490503203,117.0,-0.014711729569674481
luis urias,0.31448068489748604,0.3121152518210188,194.0,-0.0023654330764672493
luke maile,0.24914114031945228,0.2550875437877551,71.0,0.00594640346830283
luke raley,0.19317221636524007,0.1831476535949904,8.0,-0.010024562770249656
luke voit,0.3271191438783852,0.32402018539110206,232.0,-0.0030989584872831433
luke williams,0.264217915740808,0.24829328696691216,47.0,-0.015924628773895833
maikel franco,0.2998611834819707,0.3049502593177619,289.0,0.005089075835791157
manny machado,0.3431489661193922,0.36115021138709363,279.0,0.018001245267701416
manny pina,0.3062194398386678,0.26184026010781514,16.0,-0.04437917973085265
manuel margot,0.32547065730917357,0.32840461820998296,198.0,0.0029339609008093848
marcell ozuna,0.3538183250181516,0.3556755413379294,295.0,0.0018572163197778102
marcus semien,0.27115813216642115,0.26793004381830166,316.0,-0.0032280883481194955
mark canha,0.3106611365302884,0.3147636005574956,241.0,0.004102464027207209
mark contreras,0.37707270114605007,0.2715830947654855,10.0,-0.1054896063805646
mark kolozsvary,0.17761388805053976,0.16462721410258238,11.0,-0.012986673947957383
mark mathias,0.277507147799289,0.332618906802237,17.0,0.05511175900294801
martin maldonado,0.26347807638526444,0.2670436099571534,180.0,0.0035655335718889902
marwin gonzalez,0.2891028477213121,0.2933356546000105,96.0,0.00423280687869837
matt beaty,0.27708260428397635,0.25452825691211656,40.0,-0.022554347371859795
matt carpenter,0.37667821712793104,0.4060085729617024,43.0,0.02933035583377136
